S,P,A,H,R
0.892365,0.095,0.0071,0.000465,0.00507
0.8923736741742911,0.0949492438081333,0.0070400942176142714,0.00048275366120861774,0.00515423413875253
0.892370626471274,0.09490990055443467,0.00698187870498666,0.000501201939947676,0.005236392329356909
0.8923586477427563,0.0948791635917511,0.006925286349963741,0.0005203725574217137,0.005316529758106972
0.892339841925981,0.09485491390424834,0.00687025023419236,0.0005402942418025567,0.005394699693775588
0.8923157943026613,0.09483555152497174,0.006816703902217685,0.0005609967550582795,0.0054709535150909054
0.8922876984856357,0.0948198683006939,0.006764581551472761,0.000582510919796193,0.005545340742401275
0.8922564522768412,0.09480695184182523,0.006713818163178232,0.0006048686460269687,0.005617909072128173
0.8922227300261667,0.09479611301389199,0.0066643495892191144,0.0006281029577532396,0.0056887044129687704
0.8921870372507453,0.09478683120051036,0.0066161126063833675,0.000652248019281026,0.00575777092307978
0.892149751862574,0.09477871298203273,0.0065690449465685636,0.0006773391611466065,0.005825151047678016
0.8921111552866835,0.09477146094165739,0.006523085309466757,0.0007034129055451502,0.005890885556647068
0.8920714559476106,0.09476485011673634,0.006478173362656441,0.0007305069911406796,0.005955013581855816
0.8920308069946279,0.09475871022142177,0.0064342497328379634,0.0007586603971298578,0.006017572653982428
0.8919893196777443,0.0947529122260771,0.006391255991049689,0.0007879133664248007,0.006078598738704036
0.8919470734404067,0.09474735822559346,0.006349134634024411,0.0008183074278127033,0.006138126272162634
0.8919041235335796,0.09474197379048682,0.0063078290633348305,0.0008498854169426387,0.0061961881956559915
0.8918605067586598,0.09473670219223415,0.006267283563592084,0.0008826914959825335,0.006252815989531383
0.8918162457978013,0.09473150004346297,0.006227443280671466,0.000916771171782157,0.006308039706282099
0.8917713524778387,0.09472633400620557,0.006188254200721053,0.0009521713123710728,0.006361888002863593
0.8917258302291533,0.09472117830642926,0.006149663130544286,0.0009889401616140112,0.006414388172259119
0.8916796759367818,0.09471601285722002,0.006111617679823246,0.0010271273518401424,0.006465566174334757
0.8916328813327197,0.0947108218414362,0.006074066245555262,0.0010667839142573792,0.006515446666031451
0.8915854340418746,0.09470559264121545,0.006036957999003846,0.0011079622869582504,0.006564053030947817
0.8915373183665753,0.09470031502932219,0.006000242875410071,0.0011507163203201857,0.006611407408372208
0.8914885158737439,0.09469498055816157,0.005963871566667864,0.001195101279600384,0.006657530721826292
0.8914390058331411,0.09468958209801667,0.005927795517132896,0.0012411738445239394,0.0067024427071853895
0.8913887655432446,0.094684113487941,0.005891966922707403,0.0012889921056637227,0.006746161940443143
0.8913377705723747,0.0946785692717032,0.0058563387333201876,0.001338615557411796,0.006788705865189939
0.8912859949359294,0.09467294449794855,0.005820864658900947,0.0013901050873450457,0.006830090819875848
0.8912334112254977,0.09466723456885018,0.005785499178929629,0.0014435229617923678,0.006870332064929892
0.8911799907017701,0.09466143512538037,0.005750197555623986,0.0014989328074173076,0.006909443809808018
0.8911257033602643,0.0946555419602433,0.0057149158508111005,0.0015563995886386445,0.006947439240042479
0.8910705179766929,0.09464955095170853,0.005679610946510976,0.0016159895807221747,0.006984330544365225
0.8910144021371462,0.09464345801324432,0.005644240569241842,0.001677770338389975,0.007020128941977506
0.8909573222570151,0.09463725905510152,0.005608763318037411,0.0017418106598088405,0.007054844710037066
0.8908992435916382,0.09463094995494542,0.0055731386961457114,0.001808180545837447,0.007088487211433176
0.8908401302409467,0.09462452653534588,0.0055373271463571554,0.0018769511544321597,0.007121064922918132
0.8907799451498419,0.09461798454647566,0.005501290089886166,0.0019481947501343183,0.007152585463661862
0.8907186501056399,0.09461131965277306,0.0054649899687059305,0.0020219846485872847,0.007183055624293809
0.890656205733605,0.09460452742263235,0.005428390291209734,0.002098395156059504,0.007212481396493357
0.890592571491371,0.09459760332041718,0.005391455681044916,0.002177501503980247,0.007240868003186588
0.8905277056628655,0.09459054270026679,0.005354151928936925,0.0022593797785274523,0.007268219929403286
0.8904615653522259,0.09458334080129707,0.005316446047291457,0.002344106845342064,0.007294540953843576
0.8903941064780911,0.09457599274389777,0.005278306327332297,0.0024317602694802183,0.0073198341811986254
0.8903252837685786,0.09456849352690205,0.00523970239850174,0.0025224182307534166,0.00734410207526427
0.8902550507571918,0.09456083802546138,0.005200605289819401,0.002616159434647092,0.007367346492880319
0.8901833597798637,0.09455302098950083,0.005160987492864295,0.002713063019049481,0.007389568718721662
0.8901101619732984,0.09454503704266183,0.005120823026014636,0.002813208457065034,0.007410769500960146
0.8900354072747487,0.09453688068166337,0.005080087499550126,0.0029166754562294024,0.007430949087808473
0.8899590444233416,0.0945285462760302,0.005038758181193164,0.0030235438544858576,0.007450107264949231
0.8898810209630424,0.09452002806815006,0.0049968140616386495,0.003133893513325373,0.007468243393843531
0.8898012832473327,0.0945113201736312,0.004954235919597454,0.0032478042085340598,0.007485356450904701
0.8897197764456597,0.09450241658193916,0.004911006385856499,0.003365355519031667,0.007501445067513087
0.8896364445517037,0.09449331115729594,0.0048671100058392735,0.0034866267143229272,0.00751650757083832
0.8895512303934916,0.09448399763982915,0.004822533300134823,0.003611696641119096,0.007530542025425477
0.8894640756453777,0.09447446964696014,0.004777264822451284,0.0037406436097196117,0.00754354627549146
0.889374920841895,0.0944647206750224,0.0047312952144421905,0.0038735452807728415,0.007555517987867743
0.8892837053934729,0.09445474410110148,0.004684617256850431,0.0040104785530598935,0.007566454695515451
0.8891903676040005,0.09444453318508873,0.004637225916416201,0.0041515194529660165,0.007576353841528657
0.8890948446902063,0.09443408107194046,0.004589118388001741,0.004296743026319718,0.007585212823531863
0.8889970728028107,0.09442338079413386,0.004540294131397371,0.004446223233290059,0.0075930290383680555
0.8888969870493972,0.09441242527431075,0.004490754902290348,0.004600032847037287,0.007599799926964447
0.8887945215189356,0.09440120732809881,0.004440504776900525,0.004758243356810768,0.00760552301925434
0.8886896093078793,0.09438971966709982,0.004389550169814602,0.004920924876180936,0.007610195979025355
0.888582182547748,0.09437795490203281,0.00433789984458389,0.005088146057078478,0.0076138166485568304
0.8884721724340947,0.09436590554601981,0.004285564916688752,0.005259974010294272,0.007616383092902521
0.8883595092567472,0.09435356401800021,0.004232558848516046,0.0054364742330676495,0.007617893643668916
0.8882441224312039,0.0943409226462594,0.004178897436043599,0.0056177105443585154,0.007618346942134667
0.8881259405310524,0.09432797367205624,0.004124598786977721,0.005803745028360928,0.007617741981552779
0.8880048913212749,0.09431470925333313,0.004069683290145407,0.005994637986772158,0.007616078148474534
0.8878809017922916,0.09430112146849168,0.004014173576001857,0.006190447900282398,0.0076133552629325365
0.8877538981945914,0.09428720232021655,0.003958094468175568,0.006391231399696599,0.007609573617319938
0.8876238060737883,0.09427294373932922,0.003901472926036996,0.006597043247041773,0.0076047340138037595
0.8874905503059413,0.09425833758865322,0.003844337978341974,0.00680793632695122,0.0075988378001123945
0.8873540551329684,0.09424337566687195,0.0037867206480670934,0.007023961648551924,0.0075918869035407595
0.8872142441979849,0.0942280497123601,0.003728653868620352,0.00724516835801356,0.0075838838630212495
0.8870710405803923,0.09421235140696953,0.003670172391675971,0.007471603761847807,0.007574831859114553
0.8869243668305458,0.09419627237975076,0.0036113126869465957,0.007703313360975609,0.0075647347417815095
0.8867741450038268,0.09417980421059097,0.0035521128342685393,0.007940340895508397,0.007553597055805499
0.8866202966939521,0.09416293843375038,0.0034926124084356212,0.008182728400117788,0.007541424063744225
0.8864627430653498,0.09414566654127872,0.0034328523572739,0.008430516269797537,0.007528221766300244
0.8863014048844399,0.09412797998629445,0.003372874873502622,0.008683743335752303,0.007513996920010965
0.8861362025496627,0.09410987018611015,0.0033127232609754965,0.008942446951080646,0.007498757052171169
0.8859670561201024,0.0940913285251879,0.003252441795940458,0.009206663085855334,0.007482510472914129
0.8857938853425613,0.09407234635790981,0.0031920755839950333,0.009476426431142921,0.007465266284391181
0.8856166096769512,0.0940529150111499,0.0031316704134478645,0.009751770511447409,0.007447034387003875
0.885435148319874,0.09403302578663415,0.003071272605824639,0.010032727805009857,0.007427825482657599
0.8852494202262762,0.09401266996307742,0.0030109288642783515,0.010319329871347769,0.007407651075020605
0.8850593441290716,0.09399183879808663,0.0029506861206793863,0.01061160748537501,0.007386523466787686
0.88486483855664,0.09397052352982149,0.002890591382170205,0.010909590777405543,0.007364455753963037
0.8846658218481186,0.0939487153784047,0.0028306915779725012,0.01121330937831235,0.0073414618171921886
0.884462212166418,0.0939264055470759,0.0027710334072315298,0.011522792569086952,0.007317556310187992
0.8842539275089074,0.09390358522308434,0.0027116631886730832,0.011838069434024951,0.007292754645310502
0.8840408857157258,0.09388024557831702,0.002652626712833426,0.012159169016749039,0.0072670729763750315
0.8838230044756884,0.0938563777696607,0.002593969097601617,0.012486120478273065,0.00724052817877658
0.8836002013297748,0.09383197293909726,0.0025357346477873693,0.012818953256308822,0.007213137827032163
0.8833723936721942,0.09380702221353371,0.0024779667193961835,0.013157697225021194,0.007184920169855144
0.8831394987490392,0.09378151670436942,0.0024207075892573827,0.013502382854446935,0.007155894102887491
0.8829014336545513,0.09375544750680458,0.0023639983306101985,0.013853041368807535,0.007126079139226779
0.8826581153250348,0.09372880569889522,0.0023078786952087154,0.014209704902966934,0.007095495377894718
